,ID,genero,casado,idade,graduacao,profissao,experiencia_de_trabalho,pontuacao_gasto,tamanho_familia,var_1,seguimentacao
19,459045,FEMININO,SIM,88,SIM,ADVOGADO,1.0,MEDIO,4.0,Cat_6,C
22,459058,MASCULINO,NAO,42,SIM,ARTISTA,0.0,BAIXO,4.0,Cat_3,A
24,459061,FEMININO,SIM,35,SIM,ASSISTENCIA_MEDICA,9.0,ALTO,3.0,Cat_6,B
25,459064,MASCULINO,SIM,27,NAO,EXECUTIVO,5.0,ALTO,4.0,Cat_6,B
27,459074,FEMININO,NAO,29,SIM,ASSISTENCIA_MEDICA,0.0,BAIXO,4.0,Cat_4,B
28,459077,FEMININO,SIM,79,NAO,ADVOGADO,1.0,ALTO,2.0,Cat_6,A
30,459080,MASCULINO,SIM,89,NAO,ADVOGADO,1.0,BAIXO,2.0,Cat_6,C
32,459090,MASCULINO,NAO,31,NAO,ARTISTA,1.0,BAIXO,2.0,Cat_6,B
33,459091,MASCULINO,SIM,72,SIM,ARTISTA,1.0,MEDIO,6.0,Cat_1,D
35,459100,FEMININO,NAO,61,SIM,ARTISTA,11.0,BAIXO,1.0,Cat_6,C
36,459106,MASCULINO,SIM,62,SIM,ARTISTA,0.0,BAIXO,2.0,Cat_6,A
37,459114,MASCULINO,SIM,56,SIM,ARTISTA,1.0,MEDIO,2.0,Cat_6,B
38,459116,MASCULINO,SIM,60,SIM,ARTISTA,2.0,MEDIO,5.0,Cat_6,C
39,459117,MASCULINO,SIM,68,SIM,ARTISTA,0.0,ALTO,2.0,Cat_6,B
41,459119,MASCULINO,SIM,57,SIM,EXECUTIVO,8.0,ALTO,3.0,Cat_6,D
42,459120,MASCULINO,NAO,19,NAO,ASSISTENCIA_MEDICA,5.0,BAIXO,5.0,Cat_2,A
43,459121,FEMININO,SIM,51,SIM,ARTISTA,3.0,MEDIO,6.0,Cat_6,C
44,459123,FEMININO,SIM,86,NAO,ARTISTA,1.0,ALTO,2.0,Cat_6,A
45,459130,FEMININO,SIM,74,NAO,ADVOGADO,1.0,ALTO,2.0,Cat_6,C
46,459132,MASCULINO,NAO,23,NAO,ENTRETENIMENTO,6.0,BAIXO,2.0,Cat_6,B
47,459136,MASCULINO,SIM,47,SIM,ARTISTA,0.0,MEDIO,2.0,Cat_6,D
48,459140,FEMININO,NAO,19,NAO,ASSISTENCIA_MEDICA,7.0,BAIXO,6.0,Cat_6,D
49,459143,MASCULINO,SIM,50,NAO,ARTISTA,0.0,ALTO,4.0,Cat_6,B
52,459150,FEMININO,NAO,48,SIM,DOUTOR,0.0,BAIXO,1.0,Cat_6,A
53,459160,MASCULINO,SIM,70,SIM,DOUTOR,1.0,MEDIO,2.0,Cat_6,B
54,459161,MASCULINO,SIM,50,SIM,EXECUTIVO,3.0,ALTO,5.0,Cat_6,D
55,459162,FEMININO,SIM,83,SIM,ADVOGADO,0.0,ALTO,2.0,Cat_6,C
56,459163,MASCULINO,NAO,35,SIM,ENTRETENIMENTO,0.0,BAIXO,1.0,Cat_6,A
57,459167,FEMININO,NAO,36,SIM,ARTISTA,0.0,BAIXO,2.0,Cat_5,D
58,459170,FEMININO,NAO,35,SIM,ARTISTA,1.0,BAIXO,1.0,Cat_6,B
59,459171,MASCULINO,SIM,35,SIM,ARTISTA,0.0,MEDIO,2.0,Cat_6,D
60,459172,MASCULINO,NAO,18,NAO,ASSISTENCIA_MEDICA,3.0,BAIXO,3.0,Cat_2,C
61,459175,FEMININO,SIM,73,SIM,ARTISTA,1.0,MEDIO,2.0,Cat_6,C
62,459181,MASCULINO,SIM,62,NAO,ARTISTA,1.0,ALTO,3.0,Cat_6,A
63,459182,FEMININO,SIM,46,SIM,ARTISTA,1.0,MEDIO,2.0,Cat_6,A
64,459184,MASCULINO,SIM,43,SIM,ENTRETENIMENTO,0.0,BAIXO,4.0,Cat_4,A
65,459185,FEMININO,NAO,32,SIM,ENTRETENIMENTO,7.0,BAIXO,1.0,Cat_6,D
66,459193,MASCULINO,NAO,39,SIM,ARTISTA,0.0,BAIXO,1.0,Cat_6,C
67,459194,FEMININO,SIM,89,SIM,ADVOGADO,0.0,ALTO,2.0,Cat_6,A
68,459196,FEMININO,NAO,18,NAO,ASSISTENCIA_MEDICA,0.0,BAIXO,3.0,Cat_4,B
69,459208,FEMININO,SIM,57,SIM,ARTISTA,0.0,ALTO,2.0,Cat_3,B
70,459209,FEMININO,NAO,18,NAO,ENTRETENIMENTO,0.0,BAIXO,4.0,Cat_6,D
71,459210,FEMININO,SIM,71,SIM,ARTISTA,1.0,ALTO,2.0,Cat_6,C
72,459212,FEMININO,SIM,69,SIM,ARTISTA,0.0,MEDIO,2.0,Cat_6,C
73,459213,FEMININO,NAO,42,SIM,ASSISTENCIA_MEDICA,0.0,BAIXO,4.0,Cat_6,D
74,459216,FEMININO,NAO,36,SIM,ARTISTA,0.0,BAIXO,2.0,Cat_6,B
75,459220,FEMININO,SIM,80,SIM,ADVOGADO,1.0,ALTO,2.0,Cat_6,D
77,459222,FEMININO,SIM,67,SIM,ARTISTA,0.0,MEDIO,3.0,Cat_6,A
78,459223,FEMININO,SIM,47,SIM,DOUTOR,1.0,MEDIO,4.0,Cat_6,C
79,459224,FEMININO,SIM,49,SIM,ARTISTA,0.0,MEDIO,2.0,Cat_6,D
80,459227,FEMININO,SIM,32,NAO,ENGENHEIRO,9.0,BAIXO,4.0,Cat_6,A
81,459229,FEMININO,SIM,65,SIM,ADVOGADO,1.0,MEDIO,4.0,Cat_6,D
82,459236,FEMININO,SIM,78,NAO,ADVOGADO,0.0,ALTO,2.0,Cat_6,D
83,459237,MASCULINO,NAO,33,SIM,ARTISTA,1.0,BAIXO,6.0,Cat_6,D
84,459244,MASCULINO,SIM,48,SIM,ARTISTA,1.0,BAIXO,1.0,Cat_6,D
85,459247,MASCULINO,SIM,58,SIM,EXECUTIVO,1.0,MEDIO,5.0,Cat_6,A
87,459263,FEMININO,NAO,30,NAO,ASSISTENCIA_MEDICA,9.0,BAIXO,4.0,Cat_6,A
88,459264,FEMININO,NAO,35,SIM,ARTISTA,0.0,BAIXO,2.0,Cat_6,D
89,459266,MASCULINO,NAO,32,SIM,ASSISTENCIA_MEDICA,6.0,BAIXO,5.0,Cat_6,D
90,459270,MASCULINO,SIM,69,SIM,DONA_DE_CASA,1.0,ALTO,2.0,Cat_6,B
91,459284,FEMININO,SIM,71,SIM,ADVOGADO,1.0,ALTO,2.0,Cat_6,C
92,459287,MASCULINO,NAO,43,SIM,ADVOGADO,0.0,BAIXO,1.0,Cat_4,C
93,459288,MASCULINO,SIM,37,SIM,ARTISTA,0.0,BAIXO,2.0,Cat_6,A
94,459289,MASCULINO,NAO,42,SIM,DOUTOR,0.0,BAIXO,1.0,Cat_6,B
95,459290,FEMININO,SIM,70,SIM,DOUTOR,1.0,MEDIO,2.0,Cat_6,C
96,459292,MASCULINO,NAO,46,SIM,ARTISTA,0.0,BAIXO,2.0,Cat_6,B
98,459296,MASCULINO,SIM,70,SIM,ARTISTA,0.0,MEDIO,2.0,Cat_6,B
100,459307,MASCULINO,SIM,60,SIM,ENTRETENIMENTO,1.0,BAIXO,1.0,Cat_6,C
101,459310,MASCULINO,NAO,37,SIM,ENTRETENIMENTO,0.0,BAIXO,2.0,Cat_2,B
102,459316,MASCULINO,SIM,30,SIM,ASSISTENCIA_MEDICA,1.0,BAIXO,2.0,Cat_6,A
103,459318,FEMININO,NAO,32,SIM,ENGENHEIRO,1.0,BAIXO,3.0,Cat_6,D
104,459320,MASCULINO,SIM,26,SIM,EXECUTIVO,0.0,BAIXO,3.0,Cat_6,D
105,459322,MASCULINO,NAO,42,SIM,MARKETING,0.0,BAIXO,1.0,Cat_6,A
108,459339,MASCULINO,SIM,29,SIM,ASSISTENCIA_MEDICA,8.0,ALTO,2.0,Cat_6,C
109,459344,FEMININO,SIM,88,SIM,ARTISTA,1.0,ALTO,2.0,Cat_6,D
110,459347,MASCULINO,SIM,70,SIM,ADVOGADO,1.0,BAIXO,1.0,Cat_6,A
111,459349,FEMININO,SIM,50,SIM,ARTISTA,1.0,ALTO,4.0,Cat_6,B
112,459352,MASCULINO,SIM,43,SIM,DOUTOR,4.0,MEDIO,4.0,Cat_3,B
113,459353,MASCULINO,SIM,51,SIM,ARTISTA,6.0,MEDIO,2.0,Cat_6,B
118,459362,MASCULINO,SIM,60,NAO,EXECUTIVO,0.0,BAIXO,2.0,Cat_6,D
119,459363,MASCULINO,NAO,46,SIM,ARTISTA,2.0,BAIXO,1.0,Cat_6,C
120,459364,FEMININO,SIM,81,SIM,MARKETING,0.0,BAIXO,2.0,Cat_6,B
122,459375,MASCULINO,SIM,22,NAO,EXECUTIVO,0.0,ALTO,4.0,Cat_6,A
123,459377,MASCULINO,SIM,37,SIM,ARTISTA,0.0,MEDIO,3.0,Cat_6,D
124,459383,MASCULINO,SIM,43,NAO,ENGENHEIRO,0.0,BAIXO,1.0,Cat_6,D
125,459384,MASCULINO,SIM,50,SIM,ARTISTA,1.0,MEDIO,3.0,Cat_6,D
126,459385,FEMININO,SIM,35,SIM,ARTISTA,1.0,MEDIO,2.0,Cat_7,A
127,459386,MASCULINO,SIM,65,NAO,ADVOGADO,1.0,ALTO,2.0,Cat_6,C
128,459391,FEMININO,NAO,41,SIM,ENGENHEIRO,0.0,BAIXO,4.0,Cat_6,B
129,459394,MASCULINO,NAO,28,NAO,ENTRETENIMENTO,8.0,BAIXO,2.0,Cat_6,D
130,459397,MASCULINO,SIM,55,SIM,ARTISTA,4.0,MEDIO,2.0,Cat_6,A
134,459405,FEMININO,SIM,78,NAO,DOUTOR,1.0,ALTO,2.0,Cat_6,B
135,459407,FEMININO,NAO,35,SIM,DOUTOR,1.0,BAIXO,3.0,Cat_6,A
136,459409,FEMININO,SIM,76,SIM,ADVOGADO,0.0,ALTO,2.0,Cat_6,B
137,459410,FEMININO,SIM,88,SIM,ADVOGADO,1.0,ALTO,2.0,Cat_6,A
140,459415,MASCULINO,NAO,30,NAO,DOUTOR,0.0,BAIXO,4.0,Cat_6,A
141,459418,MASCULINO,SIM,69,NAO,EXECUTIVO,0.0,ALTO,2.0,Cat_6,C
142,459419,MASCULINO,SIM,65,SIM,DOUTOR,1.0,MEDIO,2.0,Cat_6,B
143,459420,FEMININO,SIM,70,SIM,ADVOGADO,1.0,BAIXO,2.0,Cat_6,C
144,459421,MASCULINO,SIM,32,NAO,ASSISTENCIA_MEDICA,0.0,MEDIO,4.0,Cat_6,D
146,459423,MASCULINO,NAO,21,NAO,ASSISTENCIA_MEDICA,8.0,BAIXO,5.0,Cat_6,A
148,459428,FEMININO,NAO,39,NAO,MARKETING,0.0,BAIXO,2.0,Cat_4,D
149,459432,MASCULINO,SIM,85,SIM,ADVOGADO,0.0,BAIXO,3.0,Cat_6,C
150,459436,FEMININO,NAO,66,SIM,ARTISTA,0.0,BAIXO,2.0,Cat_6,A
151,459439,FEMININO,SIM,50,SIM,ARTISTA,1.0,MEDIO,2.0,Cat_6,A
152,459445,FEMININO,SIM,42,SIM,ARTISTA,0.0,MEDIO,3.0,Cat_6,B
153,459447,MASCULINO,SIM,53,SIM,ARTISTA,9.0,BAIXO,1.0,Cat_6,C
155,459451,FEMININO,SIM,45,SIM,ARTISTA,1.0,BAIXO,2.0,Cat_6,D
158,459459,MASCULINO,SIM,40,SIM,ARTISTA,4.0,BAIXO,1.0,Cat_6,A
159,459461,FEMININO,SIM,35,SIM,ARTISTA,1.0,BAIXO,1.0,Cat_1,B
161,459466,FEMININO,SIM,48,SIM,ARTISTA,0.0,MEDIO,3.0,Cat_4,A
162,459467,FEMININO,SIM,56,SIM,ARTISTA,0.0,MEDIO,2.0,Cat_6,B
165,459480,FEMININO,SIM,46,SIM,ENTRETENIMENTO,7.0,BAIXO,3.0,Cat_6,C
166,459481,MASCULINO,SIM,49,NAO,ADVOGADO,0.0,BAIXO,2.0,Cat_6,C
167,459482,MASCULINO,SIM,72,NAO,MARKETING,1.0,BAIXO,4.0,Cat_6,C
170,459497,FEMININO,SIM,77,SIM,ADVOGADO,0.0,BAIXO,1.0,Cat_6,B
172,459503,MASCULINO,SIM,42,SIM,ASSISTENCIA_MEDICA,6.0,ALTO,4.0,Cat_6,D
175,459509,MASCULINO,NAO,26,SIM,ASSISTENCIA_MEDICA,1.0,BAIXO,1.0,Cat_6,B
176,459512,MASCULINO,SIM,67,SIM,ADVOGADO,1.0,ALTO,2.0,Cat_6,A
177,459515,MASCULINO,SIM,55,SIM,ENGENHEIRO,1.0,BAIXO,1.0,Cat_6,D
180,459535,MASCULINO,SIM,46,SIM,ARTISTA,8.0,MEDIO,2.0,Cat_6,C
181,459536,MASCULINO,SIM,32,SIM,ASSISTENCIA_MEDICA,7.0,BAIXO,2.0,Cat_6,D
182,459538,FEMININO,NAO,49,SIM,DONA_DE_CASA,13.0,BAIXO,1.0,Cat_6,B
183,459541,MASCULINO,SIM,59,SIM,ARTISTA,1.0,ALTO,2.0,Cat_6,C
184,459549,MASCULINO,NAO,22,NAO,ASSISTENCIA_MEDICA,8.0,BAIXO,5.0,Cat_4,D
185,459555,FEMININO,NAO,28,SIM,ARTISTA,8.0,BAIXO,1.0,Cat_6,B
186,459558,MASCULINO,NAO,28,SIM,ENTRETENIMENTO,1.0,BAIXO,3.0,Cat_6,A
187,459564,MASCULINO,SIM,75,SIM,ADVOGADO,2.0,BAIXO,1.0,Cat_6,D
188,459566,FEMININO,SIM,37,SIM,ARTISTA,13.0,BAIXO,2.0,Cat_6,A
189,459567,MASCULINO,SIM,50,SIM,DOUTOR,0.0,MEDIO,2.0,Cat_6,B
190,459571,FEMININO,SIM,50,SIM,EXECUTIVO,1.0,ALTO,4.0,Cat_6,C
192,459579,FEMININO,SIM,35,SIM,ARTISTA,3.0,MEDIO,5.0,Cat_4,A
195,459583,MASCULINO,SIM,46,SIM,ARTISTA,0.0,BAIXO,1.0,Cat_6,C
196,459585,FEMININO,SIM,50,SIM,ARTISTA,1.0,MEDIO,4.0,Cat_6,C
197,459587,FEMININO,NAO,33,SIM,ARTISTA,7.0,BAIXO,3.0,Cat_6,A
198,459588,MASCULINO,SIM,49,SIM,ARTISTA,0.0,BAIXO,1.0,Cat_6,A
199,459591,MASCULINO,SIM,52,SIM,ARTISTA,1.0,MEDIO,3.0,Cat_6,C
200,459592,MASCULINO,NAO,25,NAO,ASSISTENCIA_MEDICA,0.0,BAIXO,3.0,Cat_6,D
201,459594,FEMININO,SIM,41,SIM,ARTISTA,6.0,BAIXO,1.0,Cat_6,D
202,459597,FEMININO,SIM,68,SIM,ARTISTA,0.0,ALTO,2.0,Cat_6,D
203,459603,FEMININO,SIM,79,NAO,ADVOGADO,2.0,ALTO,2.0,Cat_6,A
204,459607,MASCULINO,SIM,40,SIM,ENTRETENIMENTO,5.0,MEDIO,5.0,Cat_6,A
208,459617,MASCULINO,NAO,28,SIM,ENTRETENIMENTO,1.0,BAIXO,5.0,Cat_6,C
209,459618,MASCULINO,SIM,57,SIM,DOUTOR,0.0,MEDIO,2.0,Cat_4,B
211,459625,FEMININO,SIM,63,NAO,ENGENHEIRO,8.0,BAIXO,1.0,Cat_6,B
212,459626,FEMININO,SIM,26,NAO,ENTRETENIMENTO,1.0,BAIXO,3.0,Cat_6,D
213,459632,FEMININO,SIM,50,NAO,MARKETING,0.0,ALTO,3.0,Cat_4,C
214,459644,FEMININO,NAO,30,NAO,MARKETING,9.0,BAIXO,4.0,Cat_2,D
216,459658,MASCULINO,SIM,61,SIM,ARTISTA,1.0,MEDIO,3.0,Cat_6,C
217,459664,MASCULINO,NAO,42,SIM,ARTISTA,3.0,BAIXO,1.0,Cat_6,A
218,459665,MASCULINO,SIM,88,SIM,ARTISTA,4.0,BAIXO,2.0,Cat_6,A
219,459672,MASCULINO,SIM,45,NAO,ARTISTA,3.0,MEDIO,3.0,Cat_6,A
220,459673,FEMININO,SIM,86,SIM,ADVOGADO,1.0,BAIXO,1.0,Cat_6,C
221,459678,MASCULINO,NAO,18,NAO,ASSISTENCIA_MEDICA,1.0,BAIXO,5.0,Cat_6,A
223,459686,MASCULINO,SIM,46,SIM,ARTISTA,1.0,BAIXO,1.0,Cat_6,A
225,459692,FEMININO,SIM,72,SIM,ADVOGADO,8.0,ALTO,2.0,Cat_6,A
228,459701,MASCULINO,NAO,46,NAO,ARTISTA,3.0,BAIXO,3.0,Cat_5,D
230,459711,MASCULINO,SIM,42,NAO,EXECUTIVO,9.0,ALTO,6.0,Cat_6,D
233,459715,MASCULINO,NAO,19,NAO,ASSISTENCIA_MEDICA,4.0,BAIXO,4.0,Cat_6,D
234,459718,MASCULINO,SIM,68,SIM,EXECUTIVO,1.0,BAIXO,1.0,Cat_6,B
235,459725,FEMININO,SIM,40,SIM,ARTISTA,0.0,BAIXO,2.0,Cat_6,A
237,459740,FEMININO,NAO,23,NAO,ASSISTENCIA_MEDICA,1.0,BAIXO,3.0,Cat_6,D
238,459742,FEMININO,SIM,84,NAO,ADVOGADO,1.0,ALTO,2.0,Cat_6,D
239,459745,MASCULINO,SIM,51,NAO,ARTISTA,0.0,BAIXO,4.0,Cat_1,C
241,459747,FEMININO,SIM,41,SIM,ARTISTA,1.0,MEDIO,5.0,Cat_6,C
242,459748,MASCULINO,SIM,51,NAO,EXECUTIVO,1.0,ALTO,2.0,Cat_6,B
244,459756,FEMININO,SIM,62,NAO,ADVOGADO,1.0,ALTO,4.0,Cat_4,C
245,459760,FEMININO,SIM,38,SIM,ARTISTA,8.0,BAIXO,1.0,Cat_6,A
247,459767,MASCULINO,NAO,22,NAO,ASSISTENCIA_MEDICA,3.0,BAIXO,4.0,Cat_6,D
249,459779,FEMININO,SIM,62,SIM,ENTRETENIMENTO,1.0,BAIXO,1.0,Cat_6,B
250,459780,FEMININO,NAO,43,NAO,ENTRETENIMENTO,1.0,BAIXO,3.0,Cat_6,A
253,459795,MASCULINO,NAO,48,SIM,ARTISTA,1.0,BAIXO,1.0,Cat_6,B
254,459801,FEMININO,NAO,31,SIM,ENGENHEIRO,4.0,BAIXO,2.0,Cat_6,B
255,459804,MASCULINO,SIM,46,NAO,ARTISTA,4.0,ALTO,4.0,Cat_6,C
256,459806,FEMININO,SIM,49,NAO,ENGENHEIRO,1.0,MEDIO,4.0,Cat_6,A
258,459815,MASCULINO,NAO,42,SIM,ARTISTA,8.0,BAIXO,1.0,Cat_6,A
262,459822,FEMININO,NAO,39,SIM,ENGENHEIRO,1.0,BAIXO,1.0,Cat_4,D
263,459825,MASCULINO,NAO,20,NAO,ASSISTENCIA_MEDICA,0.0,BAIXO,5.0,Cat_2,D
265,459832,MASCULINO,SIM,72,SIM,EXECUTIVO,1.0,BAIXO,1.0,Cat_6,D
266,459845,MASCULINO,SIM,70,SIM,ASSISTENCIA_MEDICA,0.0,BAIXO,1.0,Cat_4,B
267,459851,MASCULINO,NAO,45,SIM,ARTISTA,2.0,BAIXO,1.0,Cat_6,C
268,459853,MASCULINO,NAO,33,NAO,EXECUTIVO,7.0,BAIXO,5.0,Cat_6,D
269,459856,MASCULINO,SIM,50,NAO,ENTRETENIMENTO,0.0,MEDIO,3.0,Cat_6,C
270,459857,MASCULINO,NAO,31,SIM,ENTRETENIMENTO,6.0,BAIXO,1.0,Cat_6,A
271,459861,FEMININO,SIM,74,NAO,ADVOGADO,1.0,ALTO,2.0,Cat_6,B
274,459867,MASCULINO,SIM,49,SIM,MARKETING,0.0,ALTO,2.0,Cat_6,C
275,459869,FEMININO,NAO,18,NAO,ASSISTENCIA_MEDICA,1.0,BAIXO,3.0,Cat_6,A
276,459871,FEMININO,SIM,85,NAO,ENTRETENIMENTO,2.0,MEDIO,2.0,Cat_6,C
278,459886,MASCULINO,SIM,28,NAO,ARTISTA,0.0,BAIXO,4.0,Cat_6,A
280,459889,MASCULINO,SIM,59,SIM,DONA_DE_CASA,9.0,MEDIO,3.0,Cat_6,B
281,459897,FEMININO,SIM,56,SIM,ARTISTA,0.0,BAIXO,2.0,Cat_6,B
282,459909,MASCULINO,SIM,69,SIM,ARTISTA,0.0,BAIXO,1.0,Cat_6,C
283,459910,MASCULINO,SIM,66,SIM,ARTISTA,0.0,BAIXO,2.0,Cat_6,C
284,459911,MASCULINO,NAO,18,NAO,ASSISTENCIA_MEDICA,4.0,BAIXO,6.0,Cat_2,D
285,459914,MASCULINO,NAO,36,SIM,ARTISTA,4.0,BAIXO,1.0,Cat_4,A
286,459923,MASCULINO,NAO,31,SIM,MARKETING,1.0,BAIXO,2.0,Cat_3,B
287,459925,MASCULINO,SIM,67,NAO,EXECUTIVO,1.0,ALTO,2.0,Cat_4,D
288,459937,FEMININO,NAO,39,SIM,ARTISTA,7.0,BAIXO,1.0,Cat_6,D
289,459943,MASCULINO,NAO,42,SIM,ENTRETENIMENTO,4.0,BAIXO,3.0,Cat_6,C
290,459945,MASCULINO,SIM,50,SIM,ARTISTA,0.0,BAIXO,2.0,Cat_6,A
291,459946,FEMININO,SIM,37,SIM,ARTISTA,0.0,MEDIO,2.0,Cat_6,D
292,459949,FEMININO,NAO,59,SIM,ARTISTA,0.0,BAIXO,1.0,Cat_6,C
293,459953,MASCULINO,SIM,50,SIM,ARTISTA,8.0,BAIXO,2.0,Cat_6,D
294,459961,MASCULINO,SIM,48,SIM,ARTISTA,8.0,BAIXO,3.0,Cat_2,B
295,459962,MASCULINO,SIM,55,SIM,ARTISTA,9.0,BAIXO,1.0,Cat_6,B
296,459966,FEMININO,NAO,33,SIM,DOUTOR,1.0,BAIXO,3.0,Cat_6,A
297,459968,MASCULINO,NAO,38,SIM,ARTISTA,13.0,BAIXO,1.0,Cat_7,A
298,459970,MASCULINO,NAO,43,SIM,ARTISTA,0.0,BAIXO,2.0,Cat_6,A
299,459973,FEMININO,NAO,53,SIM,ARTISTA,0.0,BAIXO,2.0,Cat_6,A
300,459974,MASCULINO,NAO,37,SIM,ENTRETENIMENTO,0.0,BAIXO,1.0,Cat_6,B
301,459975,FEMININO,NAO,36,SIM,ARTISTA,5.0,BAIXO,1.0,Cat_6,A
302,459981,MASCULINO,NAO,36,SIM,ARTISTA,5.0,BAIXO,1.0,Cat_6,A
303,459986,MASCULINO,SIM,62,SIM,ARTISTA,1.0,BAIXO,1.0,Cat_6,D
304,459995,FEMININO,NAO,38,NAO,ARTISTA,2.0,BAIXO,2.0,Cat_6,B
305,459996,MASCULINO,NAO,55,SIM,ENTRETENIMENTO,1.0,BAIXO,1.0,Cat_6,B
306,459998,MASCULINO,SIM,60,NAO,ENTRETENIMENTO,1.0,MEDIO,2.0,Cat_6,C
307,460004,FEMININO,SIM,36,SIM,ENTRETENIMENTO,7.0,MEDIO,2.0,Cat_5,A
308,460006,MASCULINO,NAO,30,NAO,ENTRETENIMENTO,5.0,BAIXO,9.0,Cat_3,D
309,460014,FEMININO,NAO,66,NAO,ENTRETENIMENTO,4.0,BAIXO,3.0,Cat_6,A
310,460023,MASCULINO,SIM,45,SIM,ENTRETENIMENTO,1.0,BAIXO,1.0,Cat_6,D
314,460040,FEMININO,SIM,62,SIM,DONA_DE_CASA,4.0,BAIXO,1.0,Cat_5,A
315,460045,MASCULINO,SIM,61,SIM,ARTISTA,1.0,BAIXO,2.0,Cat_6,C
316,460046,FEMININO,SIM,50,SIM,ARTISTA,4.0,BAIXO,2.0,Cat_6,D
317,460050,MASCULINO,SIM,53,SIM,ENTRETENIMENTO,3.0,BAIXO,2.0,Cat_6,A
318,460051,MASCULINO,NAO,39,SIM,ARTISTA,7.0,BAIXO,1.0,Cat_6,A
319,460052,FEMININO,NAO,86,SIM,ADVOGADO,0.0,BAIXO,1.0,Cat_3,D
320,460058,MASCULINO,SIM,50,SIM,ARTISTA,1.0,BAIXO,1.0,Cat_4,B
322,460061,MASCULINO,NAO,52,SIM,MARKETING,0.0,BAIXO,1.0,Cat_3,B
323,460066,FEMININO,NAO,45,NAO,MARKETING,0.0,BAIXO,1.0,Cat_6,B
324,460068,FEMININO,NAO,37,SIM,ARTISTA,9.0,BAIXO,1.0,Cat_6,A
325,460073,FEMININO,SIM,36,SIM,ENGENHEIRO,3.0,BAIXO,1.0,Cat_6,B
327,460079,FEMININO,NAO,40,NAO,DOUTOR,1.0,BAIXO,1.0,Cat_6,B
328,460081,MASCULINO,SIM,41,SIM,ARTISTA,11.0,ALTO,2.0,Cat_6,A
330,460090,MASCULINO,SIM,80,NAO,ADVOGADO,4.0,MEDIO,2.0,Cat_6,B
331,460093,FEMININO,NAO,46,SIM,ARTISTA,3.0,BAIXO,1.0,Cat_3,A
332,460095,FEMININO,SIM,81,SIM,ADVOGADO,1.0,BAIXO,1.0,Cat_6,D
335,460101,FEMININO,NAO,26,SIM,ASSISTENCIA_MEDICA,8.0,BAIXO,3.0,Cat_3,D
336,460103,MASCULINO,NAO,26,SIM,ARTISTA,1.0,BAIXO,1.0,Cat_4,D
337,460105,FEMININO,NAO,47,SIM,ARTISTA,0.0,BAIXO,1.0,Cat_4,A
339,460107,MASCULINO,SIM,48,SIM,ENGENHEIRO,1.0,MEDIO,5.0,Cat_6,C
340,460108,MASCULINO,SIM,39,SIM,ARTISTA,1.0,MEDIO,3.0,Cat_2,B
341,460109,MASCULINO,SIM,50,SIM,ARTISTA,8.0,MEDIO,2.0,Cat_6,B
343,460112,MASCULINO,SIM,26,SIM,ENGENHEIRO,8.0,MEDIO,2.0,Cat_3,D
345,460118,FEMININO,SIM,36,SIM,ARTISTA,4.0,BAIXO,2.0,Cat_6,D
346,460119,MASCULINO,NAO,29,SIM,ASSISTENCIA_MEDICA,1.0,BAIXO,4.0,Cat_6,D
347,460122,FEMININO,NAO,39,NAO,ARTISTA,1.0,BAIXO,1.0,Cat_6,A
348,460124,FEMININO,NAO,41,SIM,ARTISTA,0.0,BAIXO,3.0,Cat_6,B
